Χρόνος δειγματοληψίας t (sec),Σήμα διέγερσης Vin (V),Λαμβανόμενο σήμα Vout (V)
0.00E+00,0.32,0.248
2.00E-06,0.32,0.28
4.00E-06,0.4,0.336
6.00E-06,0.48,0.376
8.00E-06,0.56,0.44
1.00E-05,0.64,0.488
1.20E-05,0.64,0.536
1.40E-05,0.64,0.576
1.60E-05,0.8,0.608
1.80E-05,0.8,0.616
2.00E-05,0.96,0.608
2.20E-05,0.88,0.528
2.40E-05,0.96,0.328
2.60E-05,1.12,0.176
2.80E-05,1.12,0.096
3.00E-05,1.28,0.072
3.20E-05,1.2,0.064
3.40E-05,1.36,0.056
3.60E-05,1.36,0.056
3.80E-05,1.44,0.048
4.00E-05,1.52,0.056
4.20E-05,1.52,0.056
4.40E-05,1.6,0.048
4.60E-05,1.68,0.048
4.80E-05,1.76,0.048
5.00E-05,1.84,0.048
5.20E-05,1.92,0.048
5.40E-05,1.92,0.048
5.60E-05,2,0.048
5.80E-05,2,0.048
6.00E-05,2.16,0.048
6.20E-05,2.08,0.048
6.40E-05,2.24,0.048
6.60E-05,2.24,0.048
6.80E-05,2.24,0.048
7.00E-05,2.4,0.048
7.20E-05,2.4,0.04
7.40E-05,2.48,0.048
7.60E-05,2.56,0.048
7.80E-05,2.64,0.048
8.00E-05,2.64,0.048
8.20E-05,2.72,0.04
8.40E-05,2.72,0.04
8.60E-05,2.8,0.048
8.80E-05,2.88,0.048
9.00E-05,2.88,0.048
9.20E-05,2.96,0.04
9.40E-05,3.04,0.04
9.60E-05,3.04,0.04
9.80E-05,3.12,0.04
1.00E-04,3.12,0.048
1.02E-04,3.12,0.04
1.04E-04,3.28,0.04
1.06E-04,3.28,0.04
1.08E-04,3.36,0.04
1.10E-04,3.44,0.04
1.12E-04,3.44,0.04
1.14E-04,3.52,0.032
1.16E-04,3.52,0.04
1.18E-04,3.52,0.04
1.20E-04,3.6,0.04
1.22E-04,3.68,0.04
1.24E-04,3.76,0.04
1.26E-04,3.76,0.04
1.28E-04,3.84,0.032
1.30E-04,3.84,0.04
1.32E-04,3.84,0.04
1.34E-04,3.92,0.048
1.36E-04,4,0.032
1.38E-04,4,0.032
